44,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Gompholites sp. A,filter/suspension feeder,"Marek, 1983",Upper part of the Fezouata Formation,,,"14 mm long minimum-20/26.4mm/30-40mm (other species), width aperture 3.5mm (other species Gompholites cf. cinctus)",,,,,,,,
45,Hyolitha,Hyolitha,Hyolithida,Pauxillitidae,Pauxillites thaddei,suspension feeder,"Valent et al., 2013 ; Valent et Corbacho, 2015",Upper part of the Fezouata Formation,,,20-23 mm long,,,,,,,,
46,Hyolitha,Hyolitha,Orthothecida,Orthothecidae,Nephrotheca? n. sp.,deposit feeder,"Marek, 1983",Upper part of the Fezouata Formation,,,over 10 mm (undet. Hyolithida - ~10mm-30mm (L+U)-63mm (U)),,,,,,,,
47,BRACHIOPODA,Lingulata,Acrotretida,Acrotretidae,Eurytreta sp.,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,1-2 mm,,,,,,,,
48,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele tazagurta,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,5 mm,,,,,,,,
49,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele sp. 1,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,20 mm,,,,,,,,
50,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele sp. 2,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,9 mm,,,,,,,,
51,Brachiopoda ,Lingulata,Lingulida,Obolidae,Glossella sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,11 mm,,,,,,,,
52,Brachiopoda ,Lingulata,Lingulida,Obolidae,Lingulella lata?,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,5-7 mm,,,,,,,,
53,Brachiopoda ,Lingulata,Lingulida,Obolidae,Obolidae indet.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,3 mm,,,,,,,,
54,Brachiopoda ,Lingulata,Lingulida,Obolidae,Paldiskites aff. sulcatus,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,6-7 mm,,,,,,,,
55,Brachiopoda ,Lingulata,Lingulida,Obolidae,Rafanoglossa inversa,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation ",,,8-11 mm,,,,,,,,
56,Brachiopoda ,Lingulata,Lingulida,Obolidae,Spondyglossella? sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,6-13 mm,,,,,,,,
57,Brachiopoda ,Lingulata,Lingulida,Obolidae,Wosekella filiola,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,5-13 mm,,,,,,,,
58,Brachiopoda,Lingulata,Lingulida,Obolidae,Wosekella maghribi ,endobenthic (ordovician Wosekella) or semi-infaunal suspension feeder (Cambrian Wosekella),"Candela et al., 2024",Lower part of the Fezouata Formation,uncertain phylogeny,,"~ 10 mm ??, 7-8mm",,,,,,,,
59,Brachiopoda ,Lingulata,Lingulida,Pseudolingulidae,Sedlecilingula sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,17-25 mm,,,,,,,,
60,Brachiopoda ,Lingulata,Lingulida,Zhanatellidae,Thysanotos cf. siluricus,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,25-34 mm,,,,,,,,
61,Brachiopoda ,Lingulata,Siphonotretida,Siphonotretidae,Celdobolus mirandus,"sessile, suspension feeder ","Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",uncertain phylogeny,,4 mm,,,,,,,,
62,Brachiopoda ,Paterinata,Paterinida,Paterinidae,Lacunites punctum,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,10-13 mm,,,,,,,,
63,Brachiopoda,Rhynchonellata,Orthida,Angusticardiniidae,Angusticardinia sp.,"sessile, suspension feeder ","Havlí?ek, 1971 ; Candela et al., 2024 ; Lefebvre et al., 2016",Lower part of the Fezouata Formation,,,4 mm,,,,,,,,
64,Brachiopoda ,Rhynchonellata,Orthida,Draboviidae,Nocturnellia sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,3-6 mm,,,,,,,,
65,Brachiopoda ,Rhynchonellata,Orthida,Euorthisinidae,Euorthisina sp. 1,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,5 mm,,,,,,,,
66,Brachiopoda ,Rhynchonellata,Orthida,Euorthisinidae,Euorthisina sp. 2,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,13-16 mm,,,,,,,,
67,Brachiopoda ,Rhynchonellata,Orthida,Giraldiellidae,Kvania sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,9 mm,,,,,,,,
68,Brachiopoda ,Rhynchonellata,Orthida,Heterorthidae,Incorthis sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,8 mm,,,,,,,,
69,Brachiopoda ,Rhynchonellata,Orthida,Nanorthidae,Nothorthis sp.,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,6-19 mm,,,,,,,,
70,Brachiopoda ,Rhynchonellata,Orthida,Orthidae,Paralenorthis? sp.,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,3-4 mm,,,,,,,,
71,Brachiopoda ,Rhynchonellata,Orthida,Plectorthidae,Nanorthis sp.,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,10-13 mm,,,,,,,,
72,Brachiopoda,Rhynchonellata,Orthida,Plectorthidae,Plectorthis? cf. simplex,"sessile, suspension feeder ","Havlí?ek, 1971 ; Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,8-9 mm,,,,,,,,
73,Brachiopoda,Rhynchonellata,Orthida,Paurorthidae,Paurorthis tadristensis,"sessile, suspension feeder ","Havlí?ek, 1971 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,,Paurothis (spelling mistake ?),,,,,,,,,
74,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis fasciata,suspension feeder,"Havlí?ek, 1971 ; Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ranorthis fasciata,2-5mm,,,,,,,,
75,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis? sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,3-5 mm,,,,,,,,
76,Brachiopoda,Rhynchonellata,Orthida,Tarfayidae,Tarfaya marocana,"sessile, suspension feeder ","Havlí?ek, 1971 ; Candela et al., 2024 ; Lefebvre et al, 2016",Upper part of the Fezouata Formation,,,10-17 mm,,,,,,,,
77,Brachiopoda,Rhynchonellata,Orthida,Tarfayidae,Tarfaya sp.,suspension feeder,"Candela et al., 2024",Lower part of the Fezouata Formation,,,10 mm,,,,,,,,
78,BRYOZOA,,Cystosporata,,ceramoporoid bryozoan,"encrusting shells of cephalophod Rioceras?, filter/suspension feeder","Kröger & Lefebvre, 2012",Upper part of the Fezouata Formation,,,,,,,,,,,
79,Bryozoa,-,-,-,bryozoan,filter/suspension feeder (Bryozoa),"Van Roy et al., 2015",Upper part of the Fezouata Formation,,,,,,,,,,,
80,MOLLUSCA,Aculifera (not class),Sachitida ,Siphogonuchitoidea,Calvapilosa kroegeri,"grazer, actively mobile (Sachitida), epibenthic","Vinther et al., 2017, Álvaro et al., 2022",Lower part of the Fezouata Formation,,,15 - 120 mm,,,,,,,,
81,Mollusca,"Bivalvia, Heteroconchia",Actinodontida,Intihuarellidae,Cienagomya? sp.,infaunal filter feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,,2-9 mm ?? (Cienagomya bidentata),,,,,,,,
82,Mollusca,"Bivalvia, Heteroconchia",Actinodontida,Redoniidae,Redonia michelae,"infaunal filter feeder, epibenthic","Babin & Destombes, 1990 ; Polechová, 2016, Lefebvre et al., 2016, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,4.2 mm à 17.5 mm ?,,,,,,,,
83,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Babinkidae,Babinka prima,"mobile, infaunal suspension-feeder, rapid burrower, mining-feeder, maybe chemosymbiosis (?)(like other lucinidae?)","Babin & Destombes, 1990 ; Polechová, 2016, Lefebvre et al., 2016, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","som, phytoplankton, based on other lucinidae",Anuscula ?,24 mm,,,,,,,,
84,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Coxiconchiidae,Coxiconchia guiraudi,"rapid burrower, infaunal filter-feeder","Polechová, 2016, Van Roy et al., 2015",Upper part of the Fezouata Formation,,Coxiconcha,5mm (Coxiconchia babini),,,,,,,,
85,Mollusca,"Bivalvia, Protobranchia",Afghanodesmatida,Tironuculidae,Ekaterodonta courtessolei,"deposit feeder, burrower","Polechová, 2016",Upper part of the Fezouata Formation,,,5.5 mm (juvenile),,,,,,,,
86,Mollusca,"Bivalvia, Protobranchia",Nuculida,Praenuculidae,Cardiolaria? sp.,infaunal deposit feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,,10-20 mm ???,,,,,,,,
87,Mollusca,"Bivalvia, Protobranchia",Nuculida,Praenuculidae,Praenucula sp.,"infaunal deposit feeder (Praenculidae), facultatively mobile","Babin & Destombes, 1990 ; Polechová, 2016, Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,~15 mm ?,,,,,,,,
88,Mollusca,"Bivalvia, Protobranchia",Solemyida,Ctenodontidae,Alococoncha?,infaunal deposit feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,Aloconcha,???,,,,,,,,
89,Mollusca,"Bivalvia, Pteriomorpha",Arcida,Glyptarcidae,Glyptarca sp.,infaunal filter feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,,9 mm,,,,,,,,
90,Mollusca,Cephalopoda,Discosorida,Apocrinoceratidae,Destombesiceras zagorense,"actively mobile, carnivore (Cephalopoda), nektobenthic","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,exogastrically curved shell,,16 mm diameter,,,,,,,,
91,Mollusca,Cephalopoda,Dissidocerida,Polymeridae,Polymeres sp.,"fast-moving, carnivore (Cephalopoda)","Kröger and Lefebvre, 2012","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,26 mm diameter,,,,,,,,
92,Mollusca,Cephalopoda,Ellesmerocerida,Bathmoceratidae,Bathmoceras australe,"actively mobile, carnivore (Cephalopoda), nektobenthic","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,,,"31 mm body chamber width, 56 mm siphuncle diameter",,,,,,,,
93,Mollusca,Cephalopoda,Ellesmerocerida,Bathmoceratidae,Bathmoceras taichoutense,"actively mobile, carnivore (Cephalopoda)","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,,,15 mm width,,,,,,,,
94,Mollusca,Cephalopoda,Ellesmerocerida,Rioceratidae,Rioceras sp.,"actively mobile, carnivore (Cephalopoda), nektobenthic","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,,,37 mm width,,,,,,,,
95,Mollusca,Cephalopoda,Endocerida,Protocameroceratitdae,Protocyptendoceras longicameratum,"actively mobile, suspension feeder (Mironenko, 2018)","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,large straight slender or curved shells with heavy endosiphuncular deposits,,26 mm diameter,,,,,,,,
96,Mollusca,Cephalopoda,Orthocerida,Baltoceratidae,Bactroceras sp.,"actively mobile, carnivore (Orthocerida)","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,straight shell,,23 mm diameter,,,,,,,,
97,Mollusca,Gastropoda,Bellerophontida,Sinuitidae,Sinuites sp.,"actively mobile, predator of infauna","Ebbestad, 2016",Upper part of the Fezouata Formation,,,15 mm,,,,,,,,
98,Mollusca,Gastropoda,Euomphalina,Lesueurillidae,Lesueurilla prima,"epibenthic, filter feeder","Horný, 1997 ; Ebbestad, 2016, Lefebvre et al., 2016, Van Roy et al., 2015",Upper part of the Fezouata Formation,,Ophileta prima ?,~10-25 mm,,,,,,,,
99,Mollusca,Paragastropoda,Mimospirida,Onychochilidae,Pelecyogyra fezouataensis,"epibenthic, mobile browser, deposit feeder ?","Ebbestad & Lefebvre, 2015 ; Ebbestad, 2016",Lower part of the Fezouata Formation,,,max 30 mm (3mm to 30),,,,,,,,
100,Mollusca,Tergomya,Cyrtonellida,Carcassonnellidae,Carcassonnella courtessolei,"endobenthic, deposit feeder","Ebbestad, 2016, Lefebvre et al., 2016, Van Roy et al., 2015",Upper part of the Fezouata Formation,mix of juveniles and adults,Gamadiscus courtessolei ?,~2-9 mm,,,,,,,,
101,Mollusca,Tergomya,Cyrtonellida,Carcassonnellidae,Carcassonnella vizcainoi,deposit feeder,"Ebbestad, 2016",Upper part of the Fezouata Formation,,,~6-8 mm,,,,,,,,
102,Mollusca,Tergomya,Cyrtonellida,Carcassonnellidae,Carcassonnella sp.,deposit feeder,"Ebbestad, 2016, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","CarcaSSonella maybe ?  Not much is found on it (Horny and Peel, 1996)",,2 mm ?? ,,,,,,,,
103,Mollusca,Tergomya,Cyrtonellida,Cyrtolitidae?,Thoralispira? cf. occitana,"epibenthic, deposit feeder","Horný, 1997 ; Ebbestad, 2016",Upper part of the Fezouata Formation,,,,,,,,,,,
104,Mollusca,Tergomya,Cyrtonellida,Cyrtolitidae?,Thoralispira laevis,"epibenthic, deposit feeder","Horný, 1997 ; Lefebvre et al., 2016, Van Roy et al., 2015 ; Ebbestad, 2016",Upper part of the Fezouata Formation,,Cymbularia laevis ?,max 29 mm,,,,,,,,
105,Mollusca,Rostroconchia,Ribeirioida,Ribeiriidae,Ribeiria cf. personata,"filter/suspension feeder, sessile (rostrconchia)","Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,12-15 mm ?,,,,,,,,
106,Mollusca,Rostroconchia,Ribeirioida,Ribeiriidae,Ribeiria sp.,"filter/suspension feeder, sessile (rostrconchia)","Van Roy et al., 2015 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,,,,,,,,,
107,Mollusca ???,-,-,Wiwaxiidae,Wiwaxiid,"bacterioplankton, detritus, algae ? Dunne, 2008","Van Roy et al., 2015",Lower part of the Fezouata Formation,Youngest occurrence,,2-50 mm depending on species and age,,,,,,,,
108,ANNELIDA,Machaeridia,Turrilepadomorpha,Plumulitidae,Large plumulitid,"scavenger or predator, epibenthic","Vinther et al., 2008, Van Roy et al., 2015",Lower part of the Fezouata Formation,"cannibalism widespread in phyllodocidae, phyllodocidae eat small invertebrates",,maybe a bit more than Plumulites bengtsoni since it is qualified as large ?,,,,,,,,undet. Machaeridia - 28 mm
109,Annelida,Machaeridia,Turrilepadomorpha,Plumulitidae,Plumulites bengtsoni,"scavenger or predator, epibenthic","Vinther et al., 2008, Van Roy et al., 2015, Parry et al., 2019",Lower part of the Fezouata Formation,"sediment-filled gut, canibalism widespread in pyllodocidae, phyllodocidae eat small invertebrates, some sp. eat zooplankton?, some annelids eat small invertebrates including molluscs, crustaceans, polychaetes, hydroids, bryozoans, and other colonial invertebrates (Fauchald and Jumars, 1979)(würzberg et al., 2011). Macrophages usually encounter, handle, and ingest one item at a time. Their prey or other
food items are usually on the order of 0.1 times as long as the ingesting individual (Jumars et al., 2015), byozoans (mckinney et al, 2003)",Plumulites bengstoni (spelling mistake),"58 mm, width (~10 mm)",,,,,,,,
110,Annelida,Polychaeta,,,Possible phyllodocid,predator or scavenger (based on current species),"Van Roy et al., 2015",,"cannibalism widespread in phyllodocidae, phyllodocidae eat small invertebrates, some pelagic (?) sp. eat zooplankton",,,,,,,,,,
111,Annelida,Polychaeta,Eunicida,,Isolated scolecodonts,,"Van Roy et al., 2015",,not in feeding list,,,,,,,,,,
112,Annelida,Polychaeta,-,-,Polychaete 1,epibenthic,"Van Roy et al., 2015",,not in feeding list,,,,,,,,,,
113,Annelida,Polychaeta,-,-,Polychaete2,,"Van Roy et al., 2015",,not in feeding list,,,,,,,,,,
114,Annelida,,,,Probable annelid 1,,"Van Roy et al., 2015",,not in feeding list,,,,,,,,,,
115,Annelida,,,,Probable annelid 2,,"Van Roy et al., 2015",,not in feeding list,,,,,,,,,,
116,PRIAPULIDA,Palaeoscolecida (in Priapulida ?),,Palaeoscolecidae,Palaeoscolex cf. tenensis,"small prey (small larval stages of invertebrates)(small teeth) (shelled invertebrates ok, Peel, 2017) and edible particles (ex: detritus), endobenthic ?, deposit feeding ?(martin et al, 2016?)  (cannibalism, Briggs et al., 1994)","Van Roy et al., 2015, Martin et al., 2016, Kouraiss et al., 2018",Lower part of the Fezouata Formation,"one specimen with a digestive tract filled with sediment-like material (most probably deposit feeding - 2), epibenthic ?, une autre espèce ailleurs avait petit arthoropode dans gut, en général, semble être omnivore - ingère sédiments aussi un peu comme priapulides modernes (donc ingère sédiments et mange petits trucs morts ou vivants sur son passage)",,"20-50 mm long ou plus,  max 30 mm wide",,,,,,,,
117,Priapulida,-,-,-,Priapulid,"endobenthic, carnivore/scavenger ?,   hyoliths, tiny arthropods, brachiopods, polychaetes (Vannier et al, 2010)","Van Roy et al., 2015",,,,4-24 mm (undet. Priapulida YPM),,,,,,,,
118,Priapulida,,Selkirkiimorpha,Selkirkiidae,Selkirkia tsering,"tube-dwelling worm, carnivore and/or scavenger","Nanglu & Ortega-Hernández, 2024",Lower part of the Fezouata Formation,,,"3-75 mm length, up to ~ 10 mm width ???",,,,,,,,
119,LOBOPODIANS,-,-,-,Armoured lobopodian 1,"Predator of sponges ??? Dunne, 2008","Van Roy et al., 2015",Upper part of the Fezouata Formation (possible armoured lobopodian),Youngest occurrence,,"lobopods? Some of 9-17 mm, but maybe incomplete ?, undet. Lobopodia - ~63mm (Yale Peabody Museum)",,,,,,,,
120,Lobopodians,-,-,-,Armoured lobopodian 2,"Predator of sponges ??? Dunne, 2008","Van Roy et al., 2015",,Youngest occurrence,,,,,,,,,,
121,Lobopodians,-,-,-,Armoured lobopodian 3,"Predator of sponges ??? Dunne, 2008","Van Roy et al., 2015",,Youngest occurrence,,,,,,,,,,
122,Lobopodians,,,,Diania-like lobopodian,predator of sponges ?,"Martin, 2016, thesis",,so armoured ?,,,,,,,,,,
123,Lobopodians,-,-,-,Large taxon with spinose limbs,filter feeder ?,"Van Roy et al., 2015, Caron et Aria, 2017 (ecology)",,Youngest occurrence,,,,,,,,,,
124,Lobopodians,-,-,-,Small taxon with spinose limbs,filter feeder ?,"Van Roy et al., 2015, Caron et Aria, 2017 (ecology)",,Youngest occurrence,,,,,,,,,,
125,ARTHROPODA,"Arachnomorpha, Euchelicerata",,"Offacolidae, Synziphosurine",Setapedites abundantis,"fast-moving, predator","Lustri et al., 2020, 2024, Van Roy et al., 2015",Lower part of the Fezouata Formation,"Earliest occurrence, in Martin, 2016, thesis - petite limule (small horsehoe crab) ?",,3-9 mm,,,,,,,,
126,Arthropoda,"Artiopoda, subclass Conciliterga",,-,Possible helmetiid,"nektonic or planktonic ?, according to Dunne, 2008, could be filter-feeder(Burgess species) or detritivore(Chengjiang species)","Van Roy et al., 2015",,Youngest occurrence,,,,,,,,,,
127,Arthropoda,Artiopoda,Aglaspidida,Aglaspididae,Brachyaglaspis singularis,partcle feeder,"Ortega-Hernández et al., 2016, Van Roy et al., 2015",Upper part of the Fezouata Formation,,,69.6 mm,,,,,,,,
