Cons. sp.; Resource sp.
Lingula anticostiensis ;som
Pseudolingula elegantula;som
Trematis ottawaensis anticostiensis ;som
Schizocrania filosa;som
Crania anticostiana ;som
Pholidops gamachiana;som
Dinobolus laurentinus ;som
Orthisina diversa;som
Strophochonetes copperi;som
Furcitella nodosa;som
Biparetis paucirugosus;som
Cyphomenoidea julia;som
Leptaena quadrilatera;som
Aphanomena planoconvexa ;som
Mjoesina ceres;som
Coolinia gamachiana ;som
Megamyonia arethusa;som
Eoplectodonta tenera;som
Sowerbyella vaurealensis ;som
Rafinesquina ellisensis;som
Brachyprion philomela;som
Archeochonetes primigenius;som
Katastrophomena radiireticulata ;som
Gunnarella fluctuosa;som
Strophomena planumbona;som
Eostrophonella semiovalis;som
Strophoprion geniculatum;som
Tetraphalerella hecuba;som
Hindella bulbusa;som
Elkanathyris pallula;som
Hyattidina junia;som
Cryptothyrella quadrangularis;som
Catazyga anticostiensis;som
Zygospira recurvirostris aequivalvis;som
Zygatrypa mica;som
Dihelictera acrolopha ;som
Joviatrypa brabyla ;som
Clintonella anticostiana ;som
Eospirigerina putilla;som
Sypharatrypa sp.;som
Becscia scissura ;som
Cerasina pycnata;som
Lissatrypa atheroidea;som
Xysila astaca ;som
Septatrypa julia;som
Dalmanella antisculpta ;som
Isorthis natiscotekia;som
Levenea media;som
Onniella tricapitata ;som
Paucicrura fistulosa;som
Visbyella concavoconvexa ;som
Dicoelosia dauphinensis ;som
Hirnantia sagittifera;som
Oanduporella ruida;som
Glyptorthis marilara;som
Barbarorthis laurentina;som
Flabellitesia adaia;som
Hesperorthis pyramidalis;som
Ptychopleurella lamellosa;som
Heterorthina cybele;som
Hebertella maria;som
Plaesiomys carletona ;som
Retrorsirostra carleyi;som
Gnamptorhynchos globatum ;som
Platystrophia hongueda;som
Siljanostrophia camerata ;som
Vinlandostrophia regularis;som
Dalejina junonis;som
Jupiterella eumorpha;som
Mendacella bleikerienis;som
Clorinda tumidula;som
Erilevigatella euthylomata;som
Parastrophinella reversa;som
Virgiana barrandei;som
Viridita glomerosa ;som
Pentamerus oblongus;som
Costistricklandia gaspeensis;som
Ehlersella davidsonii;som
Kulumbella xacta;som
Microcardinalia divaricata ;som
Stricklandia gwelani ;som
Fenestrirostra glacialis;som
Linguopugnoides cybelense;som
Phoenicitoechia martinensis;som
Eocoelia concava;som
Platytrochalos crudicostatus ;som
Gnamptorhynchos inversum;som
Orthorhynchyllion prinstanum ;som
Hypsiptycha anticostiensis;som
Rhynchotrema increbescens;som
Stegerhynchus borealis;som
Stegerhynchus concinna;som
Ancillotoechia eva;som
Hercotrema bulbicostatum;som
Rhynchotreta cuneata;som
Rostricellula transversa;som
Leptolepyron argenteum;som
Cuneamya anticostiana ;phytoplankton
Cuneamya anticostiana ;bacterioplankton
Cyrtodonta anticostiensis;phytoplankton
Cyrtodonta anticostiensis;bacterioplankton
Vanuxemia acutumbona;phytoplankton
Vanuxemia acutumbona;bacterioplankton
Whitella sigmoidea;phytoplankton
Whitella sigmoidea;bacterioplankton
Modiolopsis miser ;phytoplankton
Modiolopsis miser ;bacterioplankton
Byssonychia anticostiana ;phytoplankton
Byssonychia anticostiana ;bacterioplankton
Cleionychia superba;phytoplankton
Cleionychia superba;bacterioplankton
Mytilarca nitida;phytoplankton
Mytilarca nitida;bacterioplankton
Pterinea bellilineata;phytoplankton
Pterinea bellilineata;bacterioplankton
Rhytimya emma;phytoplankton
Rhytimya emma;bacterioplankton
Ctenodonta elliptica;phytoplankton
Ctenodonta elliptica;bacterioplankton
Conocardium elegantulum;phytoplankton
Conocardium elegantulum;bacterioplankton
Aechmina sp.;phytoplankton
Aechmina sp.;detritus
Paraechmina billingsi ;phytoplankton
Paraechmina billingsi ;detritus
Baltonotella parsispinosa;phytoplankton
Baltonotella parsispinosa;detritus
Libumella wilsonensis ;phytoplankton
Libumella wilsonensis ;detritus
Dicranella sp.;phytoplankton
Dicranella sp.;detritus
Jonesites semilunatus;phytoplankton
Jonesites semilunatus;detritus
Ulrichia nodosa;phytoplankton
Ulrichia nodosa;detritus
Cryptophyllus bilamella ;phytoplankton
Cryptophyllus bilamella ;detritus
Euprimitia gamachei;phytoplankton
Euprimitia gamachei;detritus
Eurychilina erugoface ;phytoplankton
Eurychilina erugoface ;detritus
Anticostiella ellisensis ;phytoplankton
Anticostiella ellisensis ;detritus
Eoleperditia vaurealensis;phytoplankton
Eoleperditia vaurealensis;detritus
Gibberella brickensis;phytoplankton
Gibberella brickensis;detritus
Herrmannina anticostiensis;phytoplankton
Herrmannina anticostiensis;detritus
Schmidtella robervali ;phytoplankton
Schmidtella robervali ;detritus
Carinobolbina richardsoni ;phytoplankton
Carinobolbina richardsoni ;detritus
Faurella cartieri;phytoplankton
Faurella cartieri;detritus
Spinigerites sp.;phytoplankton
Spinigerites sp.;detritus
Ctenobolbina maclearni;phytoplankton
Ctenobolbina maclearni;detritus
Foramenella phippsi ;phytoplankton
Foramenella phippsi ;detritus
Tetradella anticostiensis ;phytoplankton
Tetradella anticostiensis ;detritus
Tvaerenella calvatus;phytoplankton
Tvaerenella calvatus;detritus
Zygobolba decora;phytoplankton
Zygobolba decora;detritus
Eographiodactylus billingsi;phytoplankton
Eographiodactylus billingsi;detritus
Daleiella caleyi ;phytoplankton
Daleiella caleyi ;detritus
Jupiterella jupiterensis ;phytoplankton
Jupiterella jupiterensis ;detritus
Kiltsiella sarvi ;phytoplankton
Kiltsiella sarvi ;detritus
Loutriella jupiterensis ;phytoplankton
Loutriella jupiterensis ;detritus
Milleratia twenhofeli;phytoplankton
Milleratia twenhofeli;detritus
Monotiopleura parallela;phytoplankton
Monotiopleura parallela;detritus
Neoschmidtella granti ;phytoplankton
Neoschmidtella granti ;detritus
Anticostibolbina jupiterensis ;phytoplankton
Anticostibolbina jupiterensis ;detritus
Apatobolbina whiteavesi ;phytoplankton
Apatobolbina whiteavesi ;detritus
Steusloffina cuneata;phytoplankton
Steusloffina cuneata;detritus
Cyrtocyprus inornata ;phytoplankton
Cyrtocyprus inornata ;detritus
Thrallella maceachermi;phytoplankton
Thrallella maceachermi;detritus
Bairdiocypris jupiterensis ;phytoplankton
Bairdiocypris jupiterensis ;detritus
Baschkirina cerata ;phytoplankton
Baschkirina cerata ;detritus
Elliptocyprites mawilliamsia ;phytoplankton
Elliptocyprites mawilliamsia ;detritus
Punctobeecherella punctata;phytoplankton
Punctobeecherella punctata;detritus
Punctomosea borealis ;phytoplankton
Punctomosea borealis ;detritus
Menoeidina lavoiei ;phytoplankton
Menoeidina lavoiei ;detritus
Krausella anticostiensis;phytoplankton
Krausella anticostiensis;detritus
Longiscula subcylindrica;phytoplankton
Longiscula subcylindrica;detritus
Aviacypris ichnos ;phytoplankton
Aviacypris ichnos ;detritus
Macrocyproides trentonensis;phytoplankton
Macrocyproides trentonensis;detritus
Microcheilinella rozhdestvenskaja;detritus
Pachydomella murrayi ;detritus
Rectella anticostiensis ;detritus
Medianella meidlai ;detritus
Conbathella inornata ;detritus
Leperditella sp.;detritus
Neoprimitiella conica;detritus
Paraschmidtella irregularis;detritus
Eokloedenella canadensis;detritus
Hudsonaster rugosus;detritus
Nicholsodiscus anticostiensis;detritus
Perforocycloides nathalieae;detritus
Hemicystites pleiadae;detritus
Rhenopyrgus viviani;detritus
Holocystites salmoensis;detritus
Pleurocystites anticostiensis;detritus
Allozygocrinus exallos ;phytoplankton
Allozygocrinus exallos ;som
Becsciecrinus adonis ;phytoplankton
Becsciecrinus adonis ;som
Cybelecrinus ladas ;phytoplankton
Cybelecrinus ladas ;som
Dimerocrinites elegans;phytoplankton
Dimerocrinites elegans;som
Gaurocrinus fimbriatus;phytoplankton
Gaurocrinus fimbriatus;som
Apoarchaeocrinus anticostiensis ;phytoplankton
Apoarchaeocrinus anticostiensis ;som
Bucucrinus isotaloi ;phytoplankton
Bucucrinus isotaloi ;som
Ursucrinus stellatus ;phytoplankton
Ursucrinus stellatus ;som
Abacocrinus latus;phytoplankton
Abacocrinus latus;som
Fibrocrinus phragmos ;phytoplankton
Fibrocrinus phragmos ;som
Eucalyptocrinites archaios ;phytoplankton
Eucalyptocrinites archaios ;som
Lateranicrinus saintlaurenti ;phytoplankton
Lateranicrinus saintlaurenti ;som
Alopocrinus parvus ;phytoplankton
Alopocrinus parvus ;som
Jovacrinus clarki ;phytoplankton
Jovacrinus clarki ;som
Mastigograptus sp.;som
Cryptograptus insectiformis;som
Corynoides americanus ;som
Dicellograptus complanatus;som
Dicranograptus nicholsoni;som
Jiangxigraptus exilis;som
Amplexograptus praetypicalis;som
Anticostia decipiens;som
Diplacanthograptus caudatus;som
Diplograptus pristis;som
Geniculograptus crassimarginatus;som
Orthograptus calcaratus vulgatus;som
Paraorthograptus manitoulinensis;som
Peiragraptus fallax;som
Rectograptus abbreviatus;som
Lasiograptus harknessi ;som
Neurograptus sp.;som
Nymphograptus sp.;som
Orthoretiolites sp.;som
Styracograptus styloideus;som
Normalogratus angustus;som
Pronormalograptus euglyphus;som
Metabolograptus parvulus;som
Atavograptus atavus;som
Stimulograptus clintonensis;som
Archinacella estella;detritus
Metoptoma alceste;detritus
Palaeacmaea magnifica ;detritus
Vallatotheca anticostiensis ;detritus
Cornulites sp.;phytoplankton
Cornulites sp.;bacterioplankton
Tentaculites sp.;phytoplankton
Tentaculites sp.;bacterioplankton
Decoroproetus borealis;detritus
Proetus achabae ;detritus
Warburgella pratti ;detritus
Isotelus sp.;detritus
Hibbertia anticostiensis;detritus
Scotoharpes consuetus;detritus
Stenopareia duffyae ;Aechmina sp.
Stenopareia duffyae ;Paraechmina billingsi 
Stenopareia duffyae ;Baltonotella parsispinosa
Stenopareia duffyae ;Libumella wilsonensis 
Stenopareia duffyae ;Dicranella sp.
Stenopareia duffyae ;Jonesites semilunatus
Stenopareia duffyae ;Ulrichia nodosa
Stenopareia duffyae ;Cryptophyllus bilamella 
Stenopareia duffyae ;Euprimitia gamachei
Stenopareia duffyae ;Eurychilina erugoface 
Stenopareia duffyae ;Anticostiella ellisensis 
Opsypharus wangi;Aechmina sp.
Opsypharus wangi;Paraechmina billingsi 
Opsypharus wangi;Baltonotella parsispinosa
Opsypharus wangi;Libumella wilsonensis 
Opsypharus wangi;Dicranella sp.
Opsypharus wangi;Jonesites semilunatus
Opsypharus wangi;Ulrichia nodosa
Opsypharus wangi;Cryptophyllus bilamella 
Opsypharus wangi;Euprimitia gamachei
Opsypharus wangi;Eurychilina erugoface 
Opsypharus wangi;Anticostiella ellisensis 
Arctinurus aranaceus;Aechmina sp.
Arctinurus aranaceus;Paraechmina billingsi 
Arctinurus aranaceus;Baltonotella parsispinosa
Arctinurus aranaceus;Libumella wilsonensis 
Arctinurus aranaceus;Dicranella sp.
Arctinurus aranaceus;Jonesites semilunatus
Arctinurus aranaceus;Ulrichia nodosa
Arctinurus aranaceus;Cryptophyllus bilamella 
Arctinurus aranaceus;Euprimitia gamachei
Arctinurus aranaceus;Eurychilina erugoface 
Arctinurus aranaceus;Anticostiella ellisensis 
Hemiarges sp.;Aechmina sp.
Hemiarges sp.;Paraechmina billingsi 
Hemiarges sp.;Baltonotella parsispinosa
Hemiarges sp.;Libumella wilsonensis 
Hemiarges sp.;Dicranella sp.
Hemiarges sp.;Jonesites semilunatus
Hemiarges sp.;Ulrichia nodosa
Hemiarges sp.;Cryptophyllus bilamella 
Lichas menieri;Aechmina sp.
Lichas menieri;Paraechmina billingsi 
Lichas menieri;Baltonotella parsispinosa
Lichas menieri;Libumella wilsonensis 
Lichas menieri;Dicranella sp.
Lichas menieri;Jonesites semilunatus
Lichas menieri;Ulrichia nodosa
Lichas menieri;Cryptophyllus bilamella 
Anacaenaspis wrighti ;Aechmina sp.
Anacaenaspis wrighti ;Paraechmina billingsi 
Anacaenaspis wrighti ;Baltonotella parsispinosa
Anacaenaspis wrighti ;Libumella wilsonensis 
Anacaenaspis wrighti ;Dicranella sp.
Anacaenaspis wrighti ;Jonesites semilunatus
Anacaenaspis wrighti ;Ulrichia nodosa
Anacaenaspis wrighti ;Cryptophyllus bilamella 
Dalaspis boltoni ;Aechmina sp.
Dalaspis boltoni ;Paraechmina billingsi 
Dalaspis boltoni ;Baltonotella parsispinosa
Dalaspis boltoni ;Libumella wilsonensis 
Dalaspis boltoni ;Dicranella sp.
Dalaspis boltoni ;Jonesites semilunatus
Dalaspis boltoni ;Ulrichia nodosa
Dalaspis boltoni ;Cryptophyllus bilamella 
Exallaspis bruntoni;Cyrtocyprus inornata 
Exallaspis bruntoni;Thrallella maceachermi
Exallaspis bruntoni;Bairdiocypris jupiterensis 
Exallaspis bruntoni;Baschkirina cerata 
Kettneraspis copelandi ;Cyrtocyprus inornata 
Kettneraspis copelandi ;Thrallella maceachermi
Kettneraspis copelandi ;Bairdiocypris jupiterensis 
Kettneraspis copelandi ;Baschkirina cerata 
Stelckaspis sp.;Cyrtocyprus inornata 
Stelckaspis sp.;Thrallella maceachermi
Stelckaspis sp.;Bairdiocypris jupiterensis 
Stelckaspis sp.;Baschkirina cerata 
Acernaspis copperi ;Cyrtocyprus inornata 
Acernaspis copperi ;Thrallella maceachermi
Acernaspis copperi ;Bairdiocypris jupiterensis 
Acernaspis copperi ;Baschkirina cerata 
Calyptaulax occidentalis;Cyrtocyprus inornata 
Calyptaulax occidentalis;Thrallella maceachermi
Calyptaulax occidentalis;Bairdiocypris jupiterensis 
Calyptaulax occidentalis;Baschkirina cerata 
Toxochasmops anticostiensis;Cyrtocyprus inornata 
Toxochasmops anticostiensis;Thrallella maceachermi
Toxochasmops anticostiensis;Bairdiocypris jupiterensis 
Toxochasmops anticostiensis;Baschkirina cerata 
Dalmanites caudatus jupiterensis ;Cyrtocyprus inornata 
Dalmanites caudatus jupiterensis ;Thrallella maceachermi
Dalmanites caudatus jupiterensis ;Bairdiocypris jupiterensis 
Dalmanites caudatus jupiterensis ;Baschkirina cerata 
Bessazoon gibbae;Rectella anticostiensis 
Bessazoon gibbae;Medianella meidlai 
Bessazoon gibbae;Conbathella inornata 
Bessazoon gibbae;Leperditella sp.
Daytonia jollieti ;Rectella anticostiensis 
Daytonia jollieti ;Medianella meidlai 
Daytonia jollieti ;Conbathella inornata 
Daytonia jollieti ;Leperditella sp.
Calymene barnesi ;Rectella anticostiensis 
Calymene barnesi ;Medianella meidlai 
Calymene barnesi ;Conbathella inornata 
Calymene barnesi ;Leperditella sp.
Diacalymene lesperancei ;Rectella anticostiensis 
Diacalymene lesperancei ;Medianella meidlai 
Diacalymene lesperancei ;Conbathella inornata 
Diacalymene lesperancei ;Leperditella sp.
Ceraurinus icarus;Rectella anticostiensis 
Ceraurinus icarus;Medianella meidlai 
Ceraurinus icarus;Conbathella inornata 
Ceraurinus icarus;Leperditella sp.
Euomphalus anticostiensis ;som
Euomphalus anticostiensis ;phytoplankton
Holopea corrugata;som
Holopea corrugata;phytoplankton
Lytospira nitida ;som
Lytospira nitida ;phytoplankton
Cyclonema bellulum;som
Cyclonema bellulum;phytoplankton
Platyceras niagarense;som
Platyceras niagarense;phytoplankton
Raphistoma vaurealense;som
Raphistoma vaurealense;phytoplankton
Hormotoma aculeata;phytoplankton
Paupospira circe;phytoplankton
Loxonema rugosum;phytoplankton
Loxonema rugosum;bacterioplankton
Spiroraphe cryptata;phytoplankton
Spiroraphe cryptata;som
Spiroraphe cryptata;bacterioplankton
Phanerotrema communis;phytoplankton
Phanerotrema communis;som
Phanerotrema communis;bacterioplankton
Brachytomaria papillosa;phytoplankton
Brachytomaria papillosa;som
Brachytomaria papillosa;bacterioplankton
Cyrtospira notata;Euprimitia gamachei
Cyrtospira notata;Eurychilina erugoface 
Cyrtospira notata;Anticostiella ellisensis 
Cyrtospira notata;Eoleperditia vaurealensis
Cyrtospira notata;Gibberella brickensis
Cyrtospira notata;Herrmannina anticostiensis
Cyrtospira notata;Schmidtella robervali 
Subulites ellisensis ;Aechmina sp.
Subulites ellisensis ;Paraechmina billingsi 
Subulites ellisensis ;Baltonotella parsispinosa
Subulites ellisensis ;Libumella wilsonensis 
Subulites ellisensis ;Dicranella sp.
Subulites ellisensis ;Jonesites semilunatus
Subulites ellisensis ;Ulrichia nodosa
Subulites ellisensis ;Cryptophyllus bilamella 
Subulites ellisensis ;Euprimitia gamachei
Subulites ellisensis ;Eurychilina erugoface 
Subulites ellisensis ;Anticostiella ellisensis 
Subulites ellisensis ;Eoleperditia vaurealensis
Subulites ellisensis ;Gibberella brickensis
Subulites ellisensis ;Herrmannina anticostiensis
Subulites ellisensis ;Schmidtella robervali 
Subulites ellisensis ;Carinobolbina richardsoni 
Subulites ellisensis ;Faurella cartieri
Subulites ellisensis ;Spinigerites sp.
Subulites ellisensis ;Ctenobolbina maclearni
Subulites ellisensis ;Foramenella phippsi 
Subulites ellisensis ;Tetradella anticostiensis 
Subulites ellisensis ;Tvaerenella calvatus
Subulites ellisensis ;Zygobolba decora
Subulites ellisensis ;Eographiodactylus billingsi
Subulites ellisensis ;Daleiella caleyi 
Subulites ellisensis ;Jupiterella jupiterensis 
Subulites ellisensis ;Kiltsiella sarvi 
Subulites ellisensis ;Loutriella jupiterensis 
Subulites ellisensis ;Milleratia twenhofeli
Subulites ellisensis ;Monotiopleura parallela
Subulites ellisensis ;Neoschmidtella granti 
Subulites ellisensis ;Anticostibolbina jupiterensis 
Subulites ellisensis ;Apatobolbina whiteavesi 
Subulites ellisensis ;Steusloffina cuneata
Subulites ellisensis ;Cyrtocyprus inornata 
Subulites ellisensis ;Thrallella maceachermi
Subulites ellisensis ;Bairdiocypris jupiterensis 
Subulites ellisensis ;Baschkirina cerata 
Subulites ellisensis ;Elliptocyprites mawilliamsia 
Subulites ellisensis ;Punctobeecherella punctata
Subulites ellisensis ;Punctomosea borealis 
Subulites ellisensis ;Menoeidina lavoiei 
Subulites ellisensis ;Krausella anticostiensis
Subulites ellisensis ;Longiscula subcylindrica
Subulites ellisensis ;Aviacypris ichnos 
Subulites ellisensis ;Macrocyproides trentonensis
Subulites ellisensis ;Microcheilinella rozhdestvenskaja
Subulites ellisensis ;Pachydomella murrayi 
Subulites ellisensis ;Rectella anticostiensis 
Subulites ellisensis ;Medianella meidlai 
Subulites ellisensis ;Conbathella inornata 
Subulites ellisensis ;Leperditella sp.
Subulites ellisensis ;Neoprimitiella conica
Subulites ellisensis ;Paraschmidtella irregularis
Subulites ellisensis ;Eokloedenella canadensis
Subulites ellisensis ;Cuneamya anticostiana 
Subulites ellisensis ;Cyrtodonta anticostiensis
Subulites ellisensis ;Vanuxemia acutumbona
Subulites ellisensis ;Whitella sigmoidea
Subulites ellisensis ;Modiolopsis miser 
Subulites ellisensis ;Byssonychia anticostiana 
Subulites ellisensis ;Cleionychia superba
Subulites ellisensis ;Mytilarca nitida
Subulites ellisensis ;Pterinea bellilineata
Subulites ellisensis ;Rhytimya emma
Subulites ellisensis ;Ctenodonta elliptica
Subulites ellisensis ;Conocardium elegantulum
Subulites ellisensis ;Gnamptorhynchos inversum
Subulites ellisensis ;Orthorhynchyllion prinstanum 
Subulites ellisensis ;Hypsiptycha anticostiensis
Subulites ellisensis ;Rhynchotrema increbescens
Subulites ellisensis ;Stegerhynchus borealis
Subulites ellisensis ;Stegerhynchus concinna
Subulites ellisensis ;Ancillotoechia eva
Subulites ellisensis ;Eocoelia concava
Subulites ellisensis ;Platytrochalos crudicostatus 
Hadromeros edgecombei;Tvaerenella calvatus
Hadromeros edgecombei;Zygobolba decora
Hadromeros edgecombei;Eographiodactylus billingsi
Hadromeros edgecombei;Daleiella caleyi 
Hadromeros edgecombei;Jupiterella jupiterensis 
Hadromeros edgecombei;Kiltsiella sarvi 
Hadromeros edgecombei;Loutriella jupiterensis 
Hadromeros edgecombei;Milleratia twenhofeli
