#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,REFERENCES,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)",[S1-S3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,
137,Arthropoda,Chelicerata ? (subphylum),,Mollisoniidae,Thelxiope sp.,"epibenthic, feeding uncertain","[S1, S49]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","Youngest occurrence, diet unknown,not included in feeding interactions",,10-40 mm (Photos Yale Peabody Museum),
148,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus duplospineus,"suspensivore, mesoplankton","[S1, S52, S53]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"appendage 25 mm long, spines 5.2 mm long max",
169,ARTHROPODA,TRILOBITA,Agnostida,Agnostidae / metagnostidae ?,Geragnostus sp.,"epibenthic, prob benthic feeder, ate algae, detritus, and microorganisms ?  [S74], blind ? [S75], ecology hard to know because seems very varied in Agnostida (slow, detritivore)","[S1, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,9 mm,
170,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus fezouataensis ,"predator/scavenger, fast","[S1, S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",hypostoma with ridges ?,,67-101 mm,
172,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus tataensis,"predator/scavenger, fast , (no fork in hypostome ?, but antenna good for hunting ? [S78]","[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,>70 mm (maybe around 90-100 ???),
173,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp. aff. jujuanus,"predator/scavenger, fast","[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,37-62 mm,
174,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp.,"predator, fast","[S7, S79]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
176,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) destombesi,predator/scavenger [S80],"[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,330 mm,
182,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) cf. filacovi,"epibenthic, detritivore","[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,285-340 mm ??,
183,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) hammondi,detritivore,"[S79, S81, S83]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,285-340 mm,
184,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) sp. indet.,detritivore,"[S7, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,56 mm,
195,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus sicardi,predator/scavenger [S80],"[S7, S91]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Symphysurus angustatus sicardi,30-32 mm,
198,Arthropoda,Trilobita,Asaphida,Raphiophoridae,Ampyx priscus ,"epibenthic, filter-feeder [S80]","[S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"10-16 mm (Yale Peabody Museum), 40-65mm",
200,Arthropoda,Trilobita,Asaphida,Remopleurididae,Apatokephalus cf. incisus,predator/scavenger,[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"~14, 20-30 mm long ?",
202,Arthropoda,Trilobita,Corynexochida,Leiostegiidae,Agerina quadrata,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~10 mm,
210,Arthropoda,Trilobita,Olenida,Eulomidae,Euloma sp.,particle feeding [S80],"[S1, S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,31-38 mm,
212,Arthropoda,Trilobita,Phacopida,Cheiruridae,Foulonia peregrina,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ceraurinella peregrinus ,~20-25mm,
214,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Toletanaspis aff. borni,predator [S80],"[S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ormathops borni,11-17 mm,
218,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe pradesensis,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~18 mm ?,
219,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe thorali,predator [S80],"[S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,14-22.5 mm,
220,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe sp.,predator [S80],"[S1, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,50 mm         Calymenidae in general - 8-25 mm,
222,Arthropoda,Trilobita,Phacopida,Calymenidae,Prionocheilus sp.,predator [S80],"[S1, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,43-60 mm,
224,Arthropoda,Trilobita,Phacopida,Calymenidae,Neseuretus cf. attenuatus,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,83 mm (Neseuretus sp.),
226,Arthropoda,Trilobita,Phacopida,Calymenidae,Pradoella sp.,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,110 - 160 mm ????,
233,Arthropoda,Trilobita,Ptychopariida,Bathycheilidae (?????),Parabathycheilus gallicus,"deposit feeder (enrolled of same order, [S103])",[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",enrolled of same order was deposit feeder [S103],"Parathycheilus gallicus, Bathycheilus gallicus",8-13-21(?) - 35 mm,
240,ECHINODERMATA,Diploporita,Sphaeronitida,Sphaeronitidae,Paleosphaeronites? prokopi,suspension feeder [S107],"[S105, S108]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
244,Echinodermata,Eocrinoidea,Ascocystitida,Rhopalocystidae,Rhopalocystis destombesi,filter feeder [S104],"[S105, S112-S114]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Rhopalocystis dehirensis,,
250,Echinodermata,Eocrinoidea,order unknown,Lingulocystidae,Lingulocystis elongata,filter feeder [S104],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
251,Echinodermata,Eocrinoidea,-,-,Balantiocystis regnelli,filter feeder [S104],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
252,Echinodermata,Eocrinoidea,,,cf. Pareocrinus,"epibenthic, filter feeder [S104]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
253,Echinodermata,Eocrinoidea,-,-,Eocrinoidea indet. sp. 1,"epibenthic, filter feeder [S104]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
254,Echinodermata,Eocrinoidea,-,-,Eocrinoidea indet. sp. 2,"epibenthic, filter feeder [S104]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
256,Echinodermata,Rhombifera,Glyptocystitida,Macrocystellidae,Macrocystella bohemica,"suspension feeder [S104, S109]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"undet. Rhombifera YPM - <20mm, 25 mm????",
258,Echinodermata,Soluta,Syringocrinida,Minervaecystidae,Plasiacystis mobilis,detritivore [S115],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,50 mm,
271,Echinodermata,Stylophora,Cornuta,Chauvelicystidae,Sokkaejaecystis sp. 2,suspension and/or detritus feeder [S116],"[S105, S120]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,"Chauvelicystid n. gen., n. sp. 2",,
278,Echinodermata,Stylophora,Cornuta,unassigned,"Cornuta n. gen. 1, n. sp.",suspension and/or detritus feeder [S116],"[S105, S120]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
286,Echinodermata,Stylophora,Mitrata,Kirkocystidae,Anatifopsis trapeziiformis,suspension and/or detritus feeder [S115],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
309,HEMICHORDATA,Pterobranchia,Graptoloidea,Dichograptidae,Clonograptus multiplex,"planctonique, Filter/suspension feeder ",[S124],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
328,CHORDATA,,,Conodonts,Acodus deltatus,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
330,Chordata,,,Conodonts,Cornuodus longibasis,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
335,Chordata,,,Conodonts,Paltodus spp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
337,Chordata,,,Conodonts,Parapaltodus aff. simplicissimus,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
338,Chordata,,,Conodonts,Parapaltodus spp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
340,Chordata,,,Conodonts,Paroistodus cf. proteus,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
344,Chordata,,,Conodonts,Prioniodus sp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",blade with large cusp [S126],,,
349,Chordata,,,Conodonts,Semiacontiodus sp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
450,CHITINOZOAN,,,,Eremochitina brevis s. str.,,[S128],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",not included in feeding interactions,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Plasiacystis mobilis,,,,,,,
