71,Brachiopoda ,Rhynchonellata,Orthida,Plectorthidae,Nanorthis sp.,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,10-13 mm,
72,Brachiopoda,Rhynchonellata,Orthida,Plectorthidae,Plectorthis? cf. simplex,"sessile, suspension feeder ","[S13, S14]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,8-9 mm,
74,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis fasciata,suspension feeder,"[S13, S14]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ranorthis fasciata,2-5mm,
75,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis? sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,3-5 mm,
77,Brachiopoda,Rhynchonellata,Orthida,Tarfayidae,Tarfaya sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,10 mm,
80,MOLLUSCA,Aculifera (not class),Sachitida ,Siphogonuchitoidea,Calvapilosa kroegeri,"grazer, actively mobile (Sachitida), epibenthic","[S16, S17]",Lower part of the Fezouata Formation,,,15 - 120 mm,
82,Mollusca,"Bivalvia, Heteroconchia",Actinodontida,Redoniidae,Redonia michelae,"infaunal filter feeder, epibenthic","[S1, S7, S18, S19]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,4.2 mm à 17.5 mm ?,
83,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Babinkidae,Babinka prima,"mobile, infaunal suspension-feeder, rapid burrower, mining-feeder, maybe chemosymbiosis (?)(like other lucinidae?)","[S1, S7, S18, S19]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","som, phytoplankton, based on other lucinidae",Anuscula ?,24 mm,
91,Mollusca,Cephalopoda,Dissidocerida,Polymeridae,Polymeres sp.,"fast-moving, carnivore (Cephalopoda)",[S15],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,26 mm diameter,
99,Mollusca,Paragastropoda,Mimospirida,Onychochilidae,Pelecyogyra fezouataensis,"epibenthic, mobile browser, deposit feeder ?","[S20, S22]",Lower part of the Fezouata Formation,,,max 30 mm (3mm to 30),
102,Mollusca,Tergomya,Cyrtonellida,Carcassonnellidae,Carcassonnella sp.,deposit feeder,"[S1, S20]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,2 mm ?? ,
105,Mollusca,Rostroconchia,Ribeirioida,Ribeiriidae,Ribeiria cf. personata,"filter/suspension feeder, sessile (rostrconchia)","Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,12-15 mm ?,
107,Mollusca ???,-,-,Wiwaxiidae,Wiwaxiid,"bacterioplankton, detritus, algae ? [S23]",[S1],Lower part of the Fezouata Formation,Youngest occurrence,,2-50 mm depending on species and age,
108,ANNELIDA,Machaeridia,Turrilepadomorpha,Plumulitidae,Large plumulitid,"scavenger or predator, epibenthic","[S1, S24]",Lower part of the Fezouata Formation,"cannibalism widespread in phyllodocidae, phyllodocidae eat small invertebrates",,maybe a bit more than Plumulites bengtsoni since it is qualified as large ? undet. Machaeridia - 28 mm,
109,Annelida,Machaeridia,Turrilepadomorpha,Plumulitidae,Plumulites bengtsoni,"scavenger or predator, epibenthic","[S1, S24, S25]",Lower part of the Fezouata Formation,"sediment-filled gut, canibalism widespread in pyllodocidae, phyllodocidae eat small invertebrates, some sp. eat zooplankton?, some annelids eat small invertebrates including molluscs, crustaceans, polychaetes, hydroids, bryozoans, and other colonial invertebrates [S26, S27]. Macrophages usually encounter, handle, and ingest one item at a time. Their prey or other
food items are usually on the order of 0.1 times as long as the ingesting individual [S28], byozoans [S29].",Plumulites bengstoni (spelling mistake),"58 mm, width (~10 mm)",
116,PRIAPULIDA,Palaeoscolecida (in Priapulida ?),,Palaeoscolecidae,Palaeoscolex cf. tenensis,"small prey (small larval stages of invertebrates)(small teeth) (shelled invertebrates ok [S30]) and edible particles (ex: detritus), endobenthic ?, deposit feeding ? [S31]?)  (cannibalism [S32])","[S1, S31, S33]",Lower part of the Fezouata Formation,"one specimen with a digestive tract filled with sediment-like material (most probably deposit feeding - 2), epibenthic ?, une autre espèce ailleurs avait petit arthoropode dans gut, en général, semble être omnivore - ingère sédiments aussi un peu comme priapulides modernes (donc ingère sédiments et mange petits trucs morts ou vivants sur son passage)",,"20-50 mm long ou plus,  max 30 mm wide",
118,Priapulida,,Selkirkiimorpha,Selkirkiidae,Selkirkia tsering,"tube-dwelling worm, carnivore and/or scavenger",[S35],Lower part of the Fezouata Formation,,,"3-75 mm length, up to ~ 10 mm width ???",
125,ARTHROPODA,"Arachnomorpha, Euchelicerata",,"Offacolidae, Synziphosurine",Setapedites abundantis,"fast-moving, predator","[S1, S38, S39]",Lower part of the Fezouata Formation,"Earliest occurrence, [S36]-petite limule ?",,3-9 mm,
128,Arthropoda,Artiopoda,Aglaspidida,Tremaglaspidiae,Tremaglaspis sp.,particle feeder (bc natant hypostome?) ,"[S1, S40]",Lower part of the Fezouata Formation (?),"natant hypostome, ([S41], hypostome to handle bigger food elements than chulpacaris ?, maybe predator/scavenger like most other aglaspids ?)",Tremaglaspis 'vanroyi' n.n.,45-85 mm,
130,Arthropoda,Artiopoda ,-,-,Cheloniellid,"epibenthic, predator (xiphosuran-like gnathobases for masticating food) or scavenger on or a bit in the substrate (a bit like xiphosurans) [S43] predator, scavenger, eats small mobile invertebrates [S44].",[S1],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Earliest occurrence,,12 -25 mm,
136,Arthropoda,"Chelicerata, Xiphosura",-,-,Xiphosurid,"epibenthic, selective ominvore, voir remarques",[S1],Lower part of the Fezouata Formation,"Earliest occurrence, ([S47] - current species eat bivalves, worms, gastropods, shrimp-like stuff, copepods, isopods, plant material (algae ??), a bit of bryozoa, cirripedia, foraminifera, ) ([S48] - must eat combination of plant and animals it seems)",,"body-5(?)-10-40mm, with tail, up to 60mm",
144,Arthropoda,Dinocaridida ?,"Radiodonta, Anomalocaridids",Hurdiidae,Aegirocassis benmoulai,filter feeder (mesoplankton),"[S1, S51, S52]",Lower part of the Fezouata Formation,Youngest occurrence,,2 m,
148,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus duplospineus,"suspensivore, mesoplankton","[S1, S52, S53]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"appendage 25 mm long, spines 5.2 mm long max",
149,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus izdigua,"suspensivore, mesoplankton",[S52],Lower part of the Fezouata Formation,,,,
150,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus sp. ,"suspensivore, mesoplankton",[S52],Lower part of the Fezouata Formation,,,"appendage 25 mm long, spines 5.2 mm long max (?)",
155,Arthropoda,Marrellomorpha,Acercostraca,Vachonisiidae,Enosiaspis hrungnir,"epibenthic, scavenger/deposit feeder","[S1, S60]",Lower part of the Fezouata Formation,,,7-15 mm,
156,Arthropoda,Marrellomorpha,Marrellida,Mimetasteridae,Furca sp. 1,filter-feeder,[S1],Lower part of the Fezouata Formation,"Marella would be a nektobenthic filter-feeder [S61] or marrellomorphs = scavengers/deposit feeders (but other group ?), [S62] say benthic, but need to see more details of the appendages",,13-40 mm,
157,Arthropoda,Marrellomorpha,Marrellida,Mimetasteridae,Furca sp. 2,filter-feeder,[S1],Lower part of the Fezouata Formation,,,,
158,Arthropoda,Marrellomorpha,Marrellida,Mimetasteridae,Furca sp. 3,filter-feeder,[S1],Lower part of the Fezouata Formation,,,,
162,Arthropoda,-,Nektaspida,Liwiidae,Tariccoia tazagurtensis,"epibenthic opportunistic scavenger/predator of soft-bodied invertebrates [S65, S68], mud-eater [S67]","[S1, S69]",Lower part of the Fezouata Formation,,,max 8 mm,
169,ARTHROPODA,TRILOBITA,Agnostida,Agnostidae / metagnostidae ?,Geragnostus sp.,"epibenthic, prob benthic feeder, ate algae, detritus, and microorganisms ?  [S74], blind ? [S75], ecology hard to know because seems very varied in Agnostida (slow, detritivore)","[S1, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,9 mm,
170,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus fezouataensis ,"predator/scavenger, fast","[S1, S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",hypostoma with ridges ?,,67-101 mm,
171,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus stubbsi,"epibenthic, predator, fast","[S1, S76]",Lower part of the Fezouata Formation,,,241-380 mm,
172,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus tataensis,"predator/scavenger, fast , (no fork in hypostome ?, but antenna good for hunting ? [S78]","[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,>70 mm (maybe around 90-100 ???),
173,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp. aff. jujuanus,"predator/scavenger, fast","[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,37-62 mm,
174,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp.,"predator, fast","[S7, S79]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
176,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) destombesi,predator/scavenger [S80],"[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,330 mm,
182,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) cf. filacovi,"epibenthic, detritivore","[S7, S76, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,285-340 mm ??,
183,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) hammondi,detritivore,"[S79, S81, S83]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,285-340 mm,
184,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) sp. indet.,detritivore,"[S7, S77]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,56 mm,
186,Arthropoda,Trilobita,Asaphida,Asaphidae,Niobella sp.,predator/scavenger [S80],"Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,~33 mm ?,
188,Arthropoda,Trilobita,Asaphida,Dikelokephalinidae,Dikelokephalina brenchleyi,"epibenthic, predator, but probably on slower stuff (ex: worms) [S84]","[S1, S76]",Lower part of the Fezouata Formation,"probably attached hypostome [S84], not fast",Dikelophalina brenchley ? (spelling ?),242-337 mm,
189,Arthropoda,Trilobita,Asaphida,Nileidae,Asaphellus' cuervoae,"predator/scavenger, fast","[S1, S85, S86]",Lower part of the Fezouata Formation,"impendent hypostome, pred, but could maybe eat bigger prey items","Platypeltoides cuervoae ?   Diversity and Distribution of the Genus Platypeltoides
(Nileidae) in Morocco ",95-125 mm,
190,Arthropoda,Trilobita,Asaphida,Nileidae,Nileus deynouxi,predator/scavenger [S80],"[S79, S87]",Lower part of the Fezouata Formation,,,11 mm,
191,Arthropoda,Trilobita,Asaphida,Nileidae?,Playpeltoides' carmenae,predator/scavenger [S80],[S88],Lower part of the Fezouata Formation,,,55 mm,
192,Arthropoda,Trilobita,Asaphida,Nileidae?,Platypeltoides' hammondi,predator/scavenger [S80],[S89],Lower part of the Fezouata Formation,,,165 mm,
193,Arthropoda,Trilobita,Asaphida,Nileidae,Platypeltoides magrebiensis,predator/scavenger [S80],"[S7, S76, S79, S81]",Lower part of the Fezouata Formation,,,"33-62 mm, 180-230 mm, 277 mm ",
194,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus ebbestadi,predator/scavenger [S80],"[S79, S90, S91]",Lower part of the Fezouata Formation,"9 specimens from one lens, moulting stages",,30-40 mm,
195,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus sicardi,predator/scavenger [S80],"[S7, S91]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Symphysurus angustatus sicardi,30-32 mm,
196,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus sp. ,predator/scavenger [S80],"[S1, S7, S91]",Lower part of the Fezouata Formation,,,"39-42 mm, 60 mm (specimen YPM)",
198,Arthropoda,Trilobita,Asaphida,Raphiophoridae,Ampyx priscus ,"epibenthic, filter-feeder [S80]","[S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"10-16 mm (Yale Peabody Museum), 40-65mm",
200,Arthropoda,Trilobita,Asaphida,Remopleurididae,Apatokephalus cf. incisus,predator/scavenger,[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"~14, 20-30 mm long ?",
201,Arthropoda,Trilobita,Asaphida?,Symphysurinidae,Symphysurina sp.,"impendent or conterminent hypostome [S92, S93] (?), so predator/scavenger",[S94],Lower part of the Fezouata Formation,,,width 8-15mm ?),
202,Arthropoda,Trilobita,Corynexochida,Leiostegiidae,Agerina quadrata,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~10 mm,
203,Arthropoda,Trilobita,Harpetida,Harpididae,Eoharpes sp.,epibenthic filter feeder (chamber) [S80],[S76],Lower part of the Fezouata Formation,,,~30-40-50 mm ?,
205,Arthropoda,Trilobita,Lichida,Lichakephalidae,Lichakephalus stubbsi,"epibenthic, predator, but probably on slower stuff (ex: worms) [S84]","[S1, S84]",Lower part of the Fezouata Formation,"probably attached hypostome [S84], not fast",,380 mm,
210,Arthropoda,Trilobita,Olenida,Eulomidae,Euloma sp.,particle feeding [S80],"[S1, S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,31-38 mm,
211,Arthropoda,Trilobita,Olenida,Olenidae,Leptoplastides salteri,chemoautotrophic symbiont with bacteria [S99],[S100],Lower part of the Fezouata Formation,,Beltella sp,6 - 60 mm,
212,Arthropoda,Trilobita,Phacopida,Cheiruridae,Foulonia peregrina,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ceraurinella peregrinus ,~20-25mm,
214,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Toletanaspis aff. borni,predator [S80],"[S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ormathops borni,11-17 mm,
217,Arthropoda,Trilobita,Phacopida,Bavarillidae,Bavarilla zemmourensis,predator [S80],"[S76, S79]",Lower part of the Fezouata Formation,,,20-40 mm,
218,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe pradesensis,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~18 mm ?,
219,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe thorali,predator [S80],"[S7, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,14-22.5 mm,
220,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe sp.,predator [S80],"[S1, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,50 mm         Calymenidae in general - 8-25 mm,
222,Arthropoda,Trilobita,Phacopida,Calymenidae,Prionocheilus sp.,predator [S80],"[S1, S76]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,43-60 mm,
224,Arthropoda,Trilobita,Phacopida,Calymenidae,Neseuretus cf. attenuatus,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,83 mm (Neseuretus sp.),
226,Arthropoda,Trilobita,Phacopida,Calymenidae,Pradoella sp.,predator [S80],[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,110 - 160 mm ????,
227,Arthropoda,Trilobita,Phacopida,Cheiruridae,Anacheirurus adserai,predator/scavenger ? Bc of hypostome ? [S69],"[S69, S76, S79]",Lower part of the Fezouata Formation,conterminant hypsotome,"Lehua adserai, Lehua corbachoi, Lehua tahirii, Lehua velai",40-48 mm ,
230,Arthropoda,Trilobita,Phacopida,Pharostomatidae,Pharostomina sp. ,predator [S80],[S1],Lower part of the Fezouata Formation,,,20 mm,
231,Arthropoda,Trilobita,Phacopida,Pilekiidae,Parapilekia cf. sougyi,predator [S80],"[S1, S7, S101]",Lower part of the Fezouata Formation,from the Fezouata of the Anti-Atlas extension towards NW Mauritania,Parapilekia olesnaensis,245 mm,
232,Arthropoda,Trilobita,Phacopida,Pilekiidae,Pilekia sp.,predator [S80],[S76],Lower part of the Fezouata Formation,,,~40-50mm wide,
233,Arthropoda,Trilobita,Ptychopariida,Bathycheilidae (?????),Parabathycheilus gallicus,"deposit feeder (enrolled of same order, [S103])",[S76],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",enrolled of same order was deposit feeder [S103],"Parathycheilus gallicus, Bathycheilus gallicus",8-13-21(?) - 35 mm,
234,Arthropoda,Trilobita,Trinucleida,Alsataspididae,Orometopus sp.,"filter-feeder (chamber) [S80, S98]","[S1, S7, S79]",Lower part of the Fezouata Formation,trinucleidae ?,,"2.5-5.5 mm (juvenile M5), adult prob not more thant 10 mm ?",
235,Arthropoda,Trilobita,-,-,Indiligens sp.,grazing on demosponge or graptolites ? (because association with them ?) [S79],[S79],Lower part of the Fezoauta Formation,,Hospes sp.,more than 3 mm (length of juvenile),
236,ECHINODERMATA,Crinoidea,Cladida,Aethocrinidae,Aethocrinus cf. moorei,"Filter/suspension feeder [S56, S104]",[S105],Lower part of the Fezouata Formation,,,head - 30 mm,
239,Echinodermata,Diploporita,Aristocystitida,Aristocystitidae,Aristocystites cf. bohemicus (sinuous?),suspension feeder [S107],"[S7, S105, S108]",Lower part of the Fezouata Formation,,,,
240,Echinodermata,Diploporita,Sphaeronitida,Sphaeronitidae,Paleosphaeronites? prokopi,suspension feeder [S107],"[S105, S108]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
241,Echinodermata,Edrioasteroidea,Edrioasterida,Rhenopyrgidae,Rhenopyrgid indet.,"passive filter feeder [S104, S109], encruster","[S1, S105]",Lower part of the Fezouata Formation,mentioned as Hemicystites sp. by [S108],,,
244,Echinodermata,Eocrinoidea,Ascocystitida,Rhopalocystidae,Rhopalocystis destombesi,filter feeder [S104],"[S105, S112-S114]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Rhopalocystis dehirensis,,
245,Echinodermata,Eocrinoidea,Ascocystitida,Rhopalocystidae,Rhopalocystis fraga,filter feeder [S104],"[S105, S113, S114]",Lower part of the Fezouata Formation,,"Rhopalocystis sp. A, Rhopalocystis sp. B",,
246,Echinodermata,Eocrinoidea,Ascocystitida,Rhopalocystidae,Rhopalocystis grandis,filter feeder [S104],"[S105, S113, S114]",Lower part of the Fezouata Formation,,,,
247,Echinodermata,Eocrinoidea,Ascocystitida,Rhopalocystidae,Rhopalocystis Havlí?eki,filter feeder [S104],"[S105, S113, S114]",Lower part of the Fezouata Formation,,Rhopalocystis sp. C,,
248,Echinodermata,Eocrinoidea,Ascocystitida,Rhopalocystidae,Rhopalocystis zagoraensis,filter feeder [S104],"[S105, S113, S114]",Lower part of the Fezouata Formation,,Rhopalocystis lehmani,,
250,Echinodermata,Eocrinoidea,order unknown,Lingulocystidae,Lingulocystis elongata,filter feeder [S104],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
251,Echinodermata,Eocrinoidea,-,-,Balantiocystis regnelli,filter feeder [S104],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
252,Echinodermata,Eocrinoidea,-,-,cf. Pareocrinus,"epibenthic, filter feeder [S104]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
253,Echinodermata,Eocrinoidea,-,-,Eocrinoidea indet. sp. 1,"epibenthic, filter feeder [S104]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
